北京市十大高精尖产业登记指导目录
（2018年版）

序号	行业大类	行业小类	代码	名称	经营范围表述	注释
3	医药健康	化学药品新药制剂制造	2720	化学药品制剂制造	制造化学药品新药制剂	
4	医药健康	智能化中药与民族药制造	2740	中成药生产	制造中药与民族药	具有高研发投入强度或自主知识产权，低资源消耗特征
5	医药健康	先进医疗设备及器械制造	3581	医疗诊断、监护及治疗设备制造	制造第一类医疗器械；制造第二类医疗器械；制造第三类医疗器械	
6	医药健康	先进医疗设备及器械制造	3582	口腔科用设备及器具制造	制造第一类医疗器械；制造第二类医疗器械；制造第三类医疗器械	
7	医药健康	先进医疗设备及器械制造	3583	医疗实验室及医用消毒设备和器具制造	制造第一类医疗器械；制造第二类医疗器械；制造第三类医疗器械	
8	医药健康	先进医疗设备及器械制造	3584	医疗、外科及兽医用器械制造	制造第一类医疗器械；制造第二类医疗器械；制造第三类医疗器械	
9	医药健康	先进医疗设备及器械制造	3585	机械治疗及病房护理设备制造	制造第一类医疗器械；制造第二类医疗器械；制造第三类医疗器械	
10	医药健康	植介入生物医用材料及设备制造	3586	康复辅具制造	制造第一类医疗器械；制造第二类医疗器械；制造第三类医疗器械	
11	医药健康	其他医疗设备及器械制造	3589	其他医疗设备及器械制造	制造第一类医疗器械；制造第二类医疗器械；制造第三类医疗器械	
12	医药健康	新一代互联网在线问诊平台	6432	互联网生活服务平台	提供新一代互联网在线问诊平台服务	
13	医药健康	新一代互联网协同办公平台	6433	互联网科技创新平台	提供新一代互联网协同办公平台服务	
14	医药健康	人工智能医学应用软件开发	6513	应用软件开发	人工智能医学应用软件开发	
15	医药健康	新一代医疗行业应用软件开发	6513	应用软件开发	新一代医疗行业应用软件开发	
16	医药健康	新兽药、兽药新制剂和兽用生物制品制造	2750	兽用药品制造	需持有新兽药注册证书的非原料药制造或自动化密闭式高效率混合生产工艺的粉剂、散剂、预混剂生产线；需持有新兽药注册证书或采用动物、动物组织、胚胎等培养方式改为转瓶培养方式的兽用细胞苗生产线	
四	智能装备（80个）
1	智能装备	高端金属制品	3311	金属结构制造	国家、北京市鼓励的装配式建筑装备	
2	智能装备	高端金属制品	3331	集装箱制造	新型材料的集装箱制造	
3	智能装备	高端金属制品	3332	金属压力容器制造	新型材料的金属压力容器制造	
4	智能装备	高端金属制品	3333	金属包装容器及材料制造	新型材料的金属包装容器及材料制造	
5	智能装备	高端金属制品	3340	金属丝绳及其制品制造	新型材料的金属丝绳及其制品制造	
6	智能装备	高端金属制品	3399	其他未列明金属制品制造	新型材料制品及装备制造	
7	智能装备	交通运输装备	3412	内燃机及配件制造	制造数字控制型内燃机及配件	
8	智能装备	新能源装备	3415	风能原动设备制造	制造数控风能原动设备	
9	智能装备	数控机床	3421	金属切削机床制造	制造数控金属切削机床	
10	智能装备	数控机床	3422	金属成形机床制造	制造数控金属成形机床	
11	智能装备	数字成型装备	3424	金属切割及焊接设备制造	制造数控金属切割设备；制造数控焊接设备	
12	智能装备	数控机床	3425	机床功能部件及附件制造	数控设备制造	
13	智能装备	智能仓储物流装备	3434	连续搬运设备制造	制造数控连续搬运设备	
14	智能装备	智能仓储物流装备	3437	机械式停车设备制造	制造智能停车设备	
15	智能装备	核心元器件	3444	液压动力机械及元件制造	制造液压动力机械及元件	
16	智能装备	核心元器件	3445	液力动力机械元件制造	制造液力动力机械元件	
17	智能装备	核心元器件	3446	气压动力机械及元件制造	制造气压动力机械及元件	
18	智能装备	核心元器件	3451	滚动轴承制造	制造滚动轴承制造	
19	智能装备	精密基础元件和传动装置	3452	滑动轴承制造	制造滑动轴承	
20	智能装备	精密基础元件和传动装置	3453	齿轮及齿轮减、变速箱制造	制造齿轮；制造齿轮减速箱；制造齿轮变速箱	
21	智能装备	核心元器件	3459	其他传动部件制造	制造其他传动部件	
22	智能装备	核心元器件	3481	金属密封件制造	制造高精密、复合材料金属密封件	
23	智能装备	核心元器件	3482	紧固件制造	制造高强度、复合材料紧固件	
24	智能装备	核心元器件	3483	弹簧制造	制造高强度、复合材料弹簧	
25	智能装备	核心元器件	3484	机械零部件加工	精密机械零部件加工	
26	智能装备	机器人	3491	工业机器人制造	制造工业机器人	
27	智能装备	机器人	3492	特殊作业机器人制造	制造特种机器人	
28	智能装备	增材制造	3493	增材制造装备制造	制造增材制造装备	
29	智能装备	工程机械	3511	矿山机械制造	制造数控矿山机械	
30	智能装备	工程机械	3513	深海石油钻探设备制造	制造数控深海石油钻探设备	
31	智能装备	工程机械	3515	建筑材料生产专用机械制造	制造数控建筑材料生产专用机械	
32	智能装备	工程机械	3516	冶金专用设备制造	制造数控冶金专用设备	
33	智能装备	工程机械	3517	隧道施工专用机械制造	制造数控隧道施工专用机械	
34	智能装备	智能制造成套装备	3521	炼油、化工生产专用设备制造	制造数控炼油专用设备；制造数控化工生产专用设备	
35	智能装备	智能制造成套装备	3531	食品、酒、饮料及茶生产专用设备制造	制造数控食品专用设备；制造数控酒生产专用设备；制造数控饮料生产专用设备	
36	智能装备	智能制造成套装备	3532	农副食品加工专用设备制造	制造数控农副食品加工专用设备	
37	智能装备	智能制造成套装备	3542	印刷专用设备制造	制造数控印刷专用设备	
38	智能装备	智能制造成套装备	3543	日用化工专用设备制造	制造数控日用化工专用设备	
39	智能装备	智能制造成套装备	3544	制药专用设备制造	制造数控制药专用设备	
40	智能装备	智能制造成套装备	3546	玻璃、陶瓷和搪瓷制品生产专用设备制造	制造数控玻璃生产专用设备；制造数控陶瓷生产专用设备；制造数控搪瓷制品生产专用设备	
41	智能装备	智能制造成套装备	3551	纺织专用设备制造	制造数控纺织专用设备	
42	智能装备	智能制造成套装备	3563	电子元器件与机电组件设备制造	制造电子元器件设备；制造机电组件设备	
43	智能装备	智能制造成套装备	3592	地质勘查专用设备制造	制造数控地质勘查专用设备	
44	智能装备	智能制造成套装备	3594	商业、饮食、服务专用设备制造	制造自动售货机；制造自动售票机	
45	智能装备	特色智能专用装备	3595	社会公共安全设备及器材制造	制造社会公共安全设备及器材	
46	智能装备	特色智能专用装备	3596	交通安全、管制及类似专用设备制造	制造交通安全专用设备；制造交通管制专用设备	
47	智能装备	轨道交通	3714	高铁设备、配件制造	制造高铁设备；制造高铁配件	
48	智能装备	轨道交通	3716	铁路专用设备及器材、配件制造	制造铁路专用设备；制造铁路专用器材及配件	
49	智能装备	轨道交通	3720	城市轨道交通设备制造	制造城市轨道交通设备	
50	智能装备	航空航天	3741	飞机制造	制造飞机及其零部件；制造飞机发动机及其零部件	
51	智能装备	航空航天	3742	航天器及运载火箭制造	制造航天器及各类运载火箭	
52	智能装备	航空航天	3743	航天相关设备制造	制造航天相关设备	
53	智能装备	航空航天	3744	航空相关设备制造	制造航空相关设备	
54	智能装备	航空航天	3749	其他航空航天器制造	制造航空航天器	
55	智能装备	高端能源装备	3811	发电机及发电机组制造	制造节能或数控发电机及发电机组	
56	智能装备	智能传感	3813	微特电机及组件制造	制造微特电机；制造微特电机组件	
57	智能装备	智能电网	3821	变压器、整流器和电感器制造	制造变压器；制造整流器；制造电感器	
58	智能装备	智能电网	3823	配电开关控制设备制造	制造配电开关控制设备	
59	智能装备	智能电网	3824	电力电子元器件制造	制造电力电子元器件	
60	智能装备	新能源装备	3825	光伏设备及元器件制造	制造光伏设备及元器件	
61	智能装备	智能照明	3874	智能照明器具制造	制造智能照明器具中涉及制造节能环保、数控设备	
62	智能装备	智能控制装置	3891	电气信号设备装置制造	制造电气信号设备装置	
63	智能装备	特色智能专用装备	3963	智能无人飞行器制造	制造智能无人飞行器	高污染、高环境风险的生产制造环节除外
64	智能装备	机器人	3964	服务消费机器人制造	制造服务消费机器人、制造医疗机器人	
65	智能装备	智能控制装置	4011	工业自动控制系统装置制造	制造工业自动控制系统装置	
66	智能装备	智能检测与装配装备	4012	电工仪器仪表制造	制造电工仪器仪表	
67	智能装备	科学仪器	4014	实验分析仪器制造	制造实验分析仪器	
68	智能装备	科学仪器	4015	试验机制造	制造试验机	
69	智能装备	智能检测与装配装备	4016	供应用仪器仪表制造	制造供应用仪器仪表	
70	智能装备	智能检测与装配装备	4023	导航、测绘、气象及海洋专用仪器制造	制造导航专用仪器；制造测绘专用仪器；制造气象专用仪器；制造海洋专用仪器	
71	智能装备	智能检测与装配装备	4025	地质勘探和地震专用仪器制造	制造地质勘探专用仪器；制造地震专用仪器	
72	智能装备	科学仪器	4026	教学专用仪器制造	制造教学专用仪器	
73	智能装备	智能检测与装配装备	4029	其他专用仪器制造	制造纺织专用仪器仪表；制造电站热工专用仪器仪表	
74	智能装备	智能检测与装配装备	4040	光学仪器制造	制造光学仪器	
75	智能装备	高端设备维修	4320	通用设备修理	修理通用设备	
76	智能装备	高端设备维修	4330	专用设备修理	修理专用设备修理	
77	智能装备	高端设备维修	4341	铁路运输设备修理	修理铁路运输设备	
78	智能装备	高端设备维修	4343	航空航天器修理	修理航空航天器	
79	智能装备	高端设备维修	4350	电气设备修理	修理电气设备	
80	智能装备	高端设备维修	4360	仪器仪表修理	修理仪器仪表	
五	节能环保（25个）
1	节能环保	环境污染处理药剂及材料	2666	环境污染处理专用药剂材料制造	制造环境污染处理专用药剂材料	符合国家和本市鼓励发展的新材料产品
2	节能环保	环保装备	3591	环境保护专用设备制造	制造环境保护专用设备	
3	节能环保	环保装备	3597	水资源专用机械制造	制造水资源专用机械	
4	节能环保	环保监测	4021	环境监测专用仪器仪表制造	制造环境监测专用仪器仪表	
5	节能环保	节能监测	4029	其他专用仪器制造	节能监测仪器	
6	节能环保	污水再生利用	4620	污水处理及其再生利用	污水处理及其再生利用	
7	节能环保	海水淡化处理	4630	海水淡化处理	海水淡化处理	
8	节能环保	海绵城市建设	4690	其他水的处理利用与分配	雨水的收集、处理、利用 	
9	节能环保	环保咨询服务	7245	环保咨询	环境保护咨询；环境治理咨询	
10	节能环保	海洋环境服务	7432	海洋环境服务	海洋环境科技的技术开发、技术咨询、技术转让、技术推广、技术服务	
11	节能环保	环境评估监测	7461	环境保护监测	环境评估服务；空气污染监测服务；水污染监测服务；固体污染物监测服务；噪声污染监测服务；辐射污染物监测服务	
12	节能环保	生态资源监测	7462	生态资源监测	对生态工程的监测活动	
13	节能环保	高效节能技术推广	7514	节能技术推广服务	高效节能技术开发、技术咨询、技术转让、技术服务、技术推广；一站式合同能源管理综合服务	
14	节能环保	先进环保与资源化利用技术推广	7516	环保技术推广服务	环保技术开发、技术咨询、技术转让、技术服务、技术推广	
15	节能环保	先进环保与资源化利用技术推广	7519	其他技术推广服务	资源循环利用技术开发、技术咨询、技术转让、技术服务、技术推广	
16	节能环保	水资源循环利用与节水	7620	水资源管理	水资源管理	
17	节能环保	水污染治理	7721	水污染治理	水污染治理	
18	节能环保	大气污染治理	7722	大气污染治理	大气污染治理	
19	节能环保	固体废物治理	7723	固体废物治理	固体弃物治理服务	
20	节能环保	危险废物治理	7724	危险废物治理	危险废物治理	
21	节能环保	放射性污染治理	7725	放射性污染治理	放射性污染治理	
22	节能环保	土壤污染治理与修复	7726	土壤污染治理与修复服务	土壤污染治理与修复服务	
23	节能环保	噪音污染与振动控制治理	7727	噪声与振动控制服务	噪音污染与振动控制治理服务	
24	节能环保	市政设施管理	7810	市政设施管理	城市污水排放管理服务；
城市雨水排放管理服务；
城市生活垃圾及污泥处置；城市雨水分级收集处理；排水管网系统；排水数据管理；城市给排水优化调度系统；给排水信息化平台	
25	节能环保	环境卫生管理	7820	环境卫生管理	生活垃圾处理及综合利用；利用水泥窑协同处置生活垃圾；道路垃圾处理及综合利用；餐厨废弃物资源化利用；城市污泥综合利用；建筑和交通废物循环利用；建筑垃圾综合利用；桥梁、轨道拆除后垃圾综合利用；利用水泥窑协同处置城市污泥；其他城市垃圾综合利用	
六	新能源智能汽车（10个）
1	新能源智能汽车	新能源智能汽车整车制造	3612	新能源车整车制造	制造新能源智能汽车整车	
2	新能源智能汽车	新能源智能汽车改装汽车制造	3630	改装汽车制造	制造新能源智能汽车改装汽车、新能源汽车移动充电车、集装箱自卸式新能源接驳车	
3	新能源智能汽车	新能源智能汽车动力总成系统制造	3620	汽车用发动机制造	制造新能源智能汽车动力总成系统	
4	新能源智能汽车	新能源智能汽车关键零部件及配件制造	3670	汽车零部件及配件制造	制造新能源智能汽车关键零部件及配件	
5	新能源智能汽车	智能车载设备制造	3962	智能车载设备制造	制造智能车载设备	高污染、高环境风险的生产制造环节除外
6	新能源智能汽车	锂离子电池制造	3841	锂离子电池制造	制造锂离子电池的各种电池原材料及零部件配件，各种材料体系电池及电池包，固态电池等各种前沿新体系电池，电池单体、电池管理系统及电池组生产制造组装及检测设备	
7	新能源智能汽车	其他电池制造	3849	其他电池制造	固态电池、锂硫电池，锂空气电池等前沿电池，燃料电池、质子交换膜、气体扩散层、金属双极板、电池制造设备、动力电池包、电池管理系统、电池检测设备等制造	
8	新能源智能汽车	新能源智能汽车及零配件批发	5172	汽车及零配件批发	批发新能源智能汽车及零配件	
9	新能源智能汽车	新能源智能汽车租赁	7111	汽车租赁	租赁新能源智能汽车	
10	新能源智能汽车	新能源智能汽车技术推广服务	7515	新能源技术推广服务	新能源智能汽车技术开发、技术转让、技术服务、技术咨询、技术推广	
七	新材料（15个）
1	新材料	高性能膜材料	2653	合成纤维单(聚合）体制造	制造先进膜材料等合成纤维单（聚合）体	
2	新材料	高性能纤维及制品和复合材料	2659	其他合成材料制造	制造陶瓷纤维及其增强复合材料制品；制造超高分子聚乙烯纤维及其增强复合材料制品；制造碳纤维增强复合材料制品；制造芳纶纤维及其制品	
3	新材料	高分子光、电、磁材料	2664	文化用信息化学品制造	制造信息化学品	符合国家和本市鼓励发展的新材料产品
4	新材料	装配式建筑用新型建材	3022	砼结构构件制造	制造装配式建筑用砼结构构件	为城市运行配套、纳入住房城乡建设部门规划的项目
5	新材料	关键电子材料	3051	技术玻璃制品制造	制造技术玻璃制品	制造符合国家和本市鼓励发展的技术玻璃制品（玻璃原片生产环节除外）
6	新材料	高性能纤维及制品和复合材料	3062	玻璃纤维增强塑料制品制造	制造高性能玻璃纤维增强复合材料制品	
7	新材料	纳米材料	3091	石墨及碳素制品制造	制造石墨烯及其改性材料制品；制造碳纳米管及其改性材料制品；制造富勒烯及其改性材料制品	纳米催化材料、纳米功能材料
及其相关器件。
8	新材料	先进无机非金属材料	3099	其他非金属矿物制品制造	制造人工晶体、气凝胶	
9	新材料	先进有色金属材料	3240	有色金属合金制造	制造有色金属合金	耐高温合金、耐蚀合金、高强轻型合金材料等高端装备用特种合金
10	新材料	先进有色金属材料	3253	贵金属压延加工	压延加工贵金属	符合国家和本市鼓励发展的新材料产品
11	新材料	先进有色金属材料	3254	稀有稀土金属压延加工	压延加工稀有稀土金属	稀土功能材料，包括稀土永磁材料、稀土磁光材料和磁泡材料、稀土磁致冷和超磁致伸缩材料、稀土发光和激光材料、稀土贮氢材料、稀土功能陶瓷材料、稀土光学玻璃、稀土阴极发射材料和发热材料、稀土催化剂材料等稀土功能材料
12	新材料	特种陶瓷材料	3073	特种陶瓷制品制造	制造特种陶瓷制品	符合国家和本市鼓励发展的新材料产品
13	新材料	先进电子材料	3985	电子专用材料制造	制造碳化硅、氮化镓、氮化铝、金刚石等宽禁带半导体材料及相关器件；
制造先进电子光刻胶、键合金丝、电子焊料、特种靶材等高端电子配套材料	包括第三代半导体材料等
14	新材料	先进电子材料	3974	显示器件制造	先进电子光刻胶、键合金丝、电子焊料、特种靶材等高端电子配套材料。制造有机发光二极管显示材料、曲面显示材料、柔性显示材料、激光显示材料等新型显示材料	

15	新材料	先进电子材料	3976	光电子器件制造	制造光电子材料、红外材料、激光材料、光纤材料、非线性光学等光电子材料及相关器件	
八	人工智能（6个）
1	人工智能	人工智能基础软件	6511	基础软件开发	人工智能基础软件开发	
2	人工智能	人工智能系统	6531	信息系统集成服务	人工智能系统服务	
3	人工智能	人工智能平台服务	6434	互联网公共服务平台	人工智能平台服务	
4	人工智能	人工智能芯片	6520	集成电路设计	人工智能芯片设计	
5	人工智能	人工智能应用软件	6513	应用软件开发	人工智能应用软件开发	
6	人工智能	人工智能关键器件	3983	敏感元件及传感器制造	制造敏感元件及传感器	高污染、高环境风险的生产制造环节除外
九	软件和信息服务（19个）
1	软件和信息服务	工业互联网络运营服务	6439	其他互联网平台	互联网工业网络平台	
2	软件和信息服务	基础软件	6511	基础软件开发	基础软件开发	
3	软件和信息服务	工业软件	6513	应用软件开发	工业应用软件开发	
4	软件和信息服务	行业软件	6513	应用软件开发	行业应用软件开发	
5	软件和信息服务	广播电视网络维护及运营支撑软件	6511	基础软件开发	智能电视基础软件开发	
6	软件和信息服务	信息技术咨询服务	6560	信息技术咨询服务	提供信息技术咨询服务	
7	软件和信息服务	信息系统集成服务	6531	信息系统集成服务	提供信息系统集成服务	
8	软件和信息服务	高端信息技术服务支撑软件	6512	支撑软件开发	信息技术服务支撑软件开发	
9	软件和信息服务	区块链软件开发	6513	应用软件开发	区块链应用软件开发	
10	软件和信息服务	互联网生产服务平台	6431	互联网生产服务平台	提供互联网生产服务平台服务	
11	软件和信息服务	互联网生活服务平台	6432	互联网生活服务平台	提供互联网居民生活服务平台服务	
12	软件和信息服务	互联网科技创新平台	6433	互联网科技创新平台	提供互联网科技创新、创业等服务平台服务	
13	软件和信息服务	互联网公共服务平台	6434	互联网公共服务平台	提供互联网公共服务平台服务	
14	软件和信息服务	数字文化创意软件	6512	支撑软件开发	动漫、游戏支撑软件开发	
15	软件和信息服务	数字文化创意内容制作与应用服务	6572	动漫、游戏数字内容服务	动漫、游戏数字内容服务	
16	软件和信息服务	地理信息加工服务	6571	地理遥感信息服务	地理遥感信息服务	
17	软件和信息服务	移动计算软件平台	6512	支撑软件开发	移动服务运营支撑软件开发	
18	软件和信息服务	移动应用软件	6513	应用软件开发	智能移动终端软件开发	
19	软件和信息服务	广播电视网络维护及运营支撑软件	6513	应用软件开发	智能电视应用软件开发	
十	科技服务（12个）
1	工程技术服务	工程管理服务	7481	工程管理服务	工程管理服务；建筑市政工程施工、运维技术服务	
2	工程技术服务	工程勘察，工程设计	7482	工程勘察设计	工程勘察，工程设计	
3	研发服务	研究和试验发展	7310	自然科学研究和试验发展		
4	研发服务	研究和试验发展	7320	工程和技术研究和试验发展		
5	研发服务	研究和试验发展	7330	农业科学研究和试验发展		
6	研发服务	研究和试验发展	7340	医学研究和试验发展		
7	设计服务	专业化设计服务	7491	工业设计服务	专业化设计服务	
8	设计服务	专业化设计服务	7492	专业设计服务		
9	创业孵化服务	创业空间服务	7540	创业空间服务	国家或市政府相关部门认定的创业空间服务机构	
10	知识产权服务	知识产权服务	7520	知识产权服务	专利服务；专利代理；专利查询服务；商标服务；商标代理；商标登记服务；商标查询服务；商标评审服务；版权服务；版权代理；版权鉴定；版权咨询服务；海外作品登记服务；涉外音像合同认证服务；著作权使用报酬收转服务；软件及软件代理服务；软件著作权登记服务；软件鉴定服务；集成电路布图设计代理服务；无形资产评估服务；品种权服务	
11	检验检测服务	质检技术服务	7452	检测服务	公共安全检测服务；汽车检测服务；农业机械产品检测服务；产品特征、特性检验、检测服务	
12	科技咨询服务	科技咨询服务	7530	科技中介服务	科技文献服务；科技信息咨询服务；科技成果鉴定服务	












北京市经济和信息化局办公室	   2018年12月29日印发

